name,address,city,state,description,star,full_address,postal_code,Reservation platform
 Sushi Inoue,381 Lenox Ave, New York, NY,ONE STAR for this Japanese restaurant in Harlem.,1,"381 Lenox Ave, New York, NY 10027",10027,Resy
 Dovetail,103 W 77th St, New York, NY,John Fraser's UWS fine dining restaurant has ONE STAR.,1,"103 W 77th St, New York, NY 10024",10024,
 Cafe Boulud,20 E 76th St, New York, NY,Daniel Boulud's beloved Upper East Side restaurant has ONE STAR.,1,"20 E 76th St, New York, NY 10021",10021,OpenTable
 Jean-Georges,1 Central Park West, New York, NY,Jean-Georges Vongerichten's flagship restaurant has been downgraded this year to TWO STARS.,2,"1 Central Park West, New York, NY 10023",10023,OpenTable
 Masa,10 Columbus Cir, New York, NY,Masa Takayama's pricey sushi restaurant has THREE STARS.,3,"10 Columbus Cir, New York, NY 10019",10019,
 Marea,240 Central Park S, New York, NY,Michael White's Central Park South Italian seafood restaurant has TWO STARS.,2,"240 Central Park S, New York, NY 10019",10019,
 Daniel,60 E 65th St, New York, NY,Daniel Boulud's Upper East Side French restaurant has TWO STARS.,2,"60 E 65th St, New York, NY 10065",10065,
 Torishin,362 W 53rd St, New York, NY,This terrific izakaya has ONE STAR.,1,"362 W 53rd St, New York, NY 10019",10019,
 Le Bernardin,155 W 51st St, New York, NY,Eric Ripert's beloved seafood restaurant has THREE STARS.,3,"155 W 51st St, New York, NY 10019",10019,Resy
 The Modern,9 W 53rd St, New York, NY,Danny Meyer's Midtown restaurant with chef Abram Bissell has TWO STARS.,2,"9 W 53rd St, New York, NY 10019",10019,OpenTable
 Aquavit,65 E 55th St, New York, NY,This Midtown Scandinavian restaurant has TWO STARS.,2,"65 E 55th St, New York, NY 10022",10022,OpenTable
 Caviar Russe,538 Madison Ave, New York, NY,This Midtown East fine dining restaurant has ONE STAR.,1,"538 Madison Ave, New York, NY 10022",10022,OpenTable
 Satsuki (Suzuki’s sushi bar),114 W 47th St (discreetly located), New York, NY,The family behind longtime favorite Sushi Zen opened edomae-style omakase Satsuki in 2017 and have earned ONE STAR.,1,"114 W 47th St (discreetly located), New York, NY 10036",10036,
 Chef's Table at Brooklyn Fare,431 W 37th St, New York, NY,Cesar Ramirez's fine-dining counter retains its THREE STAR rating for another year.,3,"431 W 37th St, New York, NY 10018",10018,
 Aureole,135 W 42nd St, New York, NY,Charlie Palmer's Times Square restaurant has ONE STAR.,1,"135 W 42nd St, New York, NY 10036",10036,OpenTable
 Gabriel Kreuther,41 W 42nd St, New York, NY,Gabriel Kreuther's eponymous Midtown restaurant has ONE STAR.,1,"41 W 42nd St, New York, NY 10036",10036,OpenTable
 Sushi Ginza Onodera,461 5th Ave, New York, NY,This omakase-only restaurant has been upgraded this year to TWO STARS.,2,"461 5th Ave, New York, NY 10017",10017,OpenTable
 Sushi Amane,245 E 44th St, New York, NY,"After just three months in Midtown East, Sushi Amane scores ONE STAR.",1,"245 E 44th St, New York, NY 10017",10017,
 Sushi Yasuda,204 E 43rd St, New York, NY,This sushi favorite has ONE STAR.,1,"204 E 43rd St, New York, NY 10017",10017,Resy
 Ai Fiori,400 5th Ave #2, New York, NY,Michael White's French Riviera-inspired restaurant has ONE STAR.,1,"400 5th Ave #2, New York, NY 10018",10018,OpenTable
 Café China,13 E 37th St, New York, NY,This stylish Midtown Sichuan restaurant has ONE STAR.,1,"13 E 37th St, New York, NY 10016",10016,
